Date,balance,wager_net,daily_diff,perc_change,high,low,adjusted_high,open,close
2023-10-16,141102.25999999992,-3644.640000000001,-3644.640000000014,-2.5179399351557894,150536.77599999993,141102.25999999992,150536.77599999993,144746.89999999994,141102.25999999992
2023-10-17,144665.73999999993,3563.48,3563.4800000000105,2.5254591953381986,146746.35039999994,141102.25999999992,146746.35039999994,141102.25999999992,144665.73999999993
2023-10-18,141019.1799999999,-3646.5600000000004,-3646.560000000027,-2.5206797407596495,150452.36959999995,141019.1799999999,150452.36959999995,144665.73999999993,141019.1799999999
2023-10-19,134603.5899999999,-6415.59,-6415.5899999999965,-4.549444976208202,146659.9471999999,134603.5899999999,146659.9471999999,141019.1799999999,134603.5899999999
2023-10-23,150667.11999999988,16063.53,16063.52999999997,11.933953618919064,150667.11999999988,134603.5899999999,139987.73359999992,134603.5899999999,150667.11999999988
2023-10-24,148674.8499999999,-1992.2700000000002,-1992.2699999999895,-1.3222991187460085,156693.80479999987,148674.8499999999,156693.80479999987,150667.11999999988,148674.8499999999
2023-10-25,152287.96999999988,3613.1199999999994,3613.1199999999953,2.430216004926185,154621.8439999999,148674.8499999999,154621.8439999999,148674.8499999999,152287.96999999988
2023-10-27,154716.64999999988,2428.68,2428.679999999993,1.5947943885521585,158379.48879999988,152287.96999999988,158379.48879999988,152287.96999999988,154716.64999999988
2023-10-28,165564.4599999999,10847.81,10847.810000000027,7.011404396359431,165564.4599999999,154716.64999999988,160905.31599999988,154716.64999999988,165564.4599999999
2023-10-29,181068.0199999999,15503.56,15503.559999999998,9.364062794636002,181068.0199999999,165564.4599999999,172187.0383999999,165564.4599999999,181068.0199999999
2023-10-30,177215.2899999999,-3852.7299999999996,-3852.7300000000105,-2.127780488238626,188310.7407999999,177215.2899999999,188310.7407999999,181068.0199999999,177215.2899999999
2023-10-31,180372.49999999988,3157.2100000000005,3157.209999999992,1.7815674934143626,184303.9015999999,177215.2899999999,184303.9015999999,177215.2899999999,180372.49999999988
2023-11-01,173294.9399999999,-7077.56,-7077.559999999998,-3.9238575725235285,187587.39999999988,173294.9399999999,187587.39999999988,180372.49999999988,173294.9399999999
2023-11-02,165637.0699999999,-7657.87,-7657.869999999995,-4.418980727308022,180226.73759999988,165637.0699999999,180226.73759999988,173294.9399999999,165637.0699999999
2023-11-03,161628.0699999999,-4009.0,-4009.0,-2.4203519175991235,172262.5527999999,161628.0699999999,172262.5527999999,165637.0699999999,161628.0699999999
2023-11-04,160410.54999999987,-1217.52,-1217.5200000000186,-0.75328499560752,168093.1927999999,160410.54999999987,168093.1927999999,161628.0699999999,160410.54999999987
2023-11-05,136066.77999999988,-24343.77,-24343.76999999999,-15.17591579855565,166826.97199999986,136066.77999999988,166826.97199999986,160410.54999999987,136066.77999999988
2023-11-06,141693.3599999999,5626.58,5626.580000000016,4.135160690948974,141693.3599999999,136066.77999999988,141509.4511999999,136066.77999999988,141693.3599999999
2023-11-07,146368.39999999994,4675.040000000001,4675.040000000037,3.299406549467131,147361.09439999989,141693.3599999999,147361.09439999989,141693.3599999999,146368.39999999994
2023-11-08,154076.88999999996,7708.490000000001,7708.49000000002,5.266498779791283,154076.88999999996,146368.39999999994,152223.13599999994,146368.39999999994,154076.88999999996
2023-11-09,176982.25999999992,22905.37,22905.369999999966,14.86619440462484,176982.25999999992,154076.88999999996,160239.96559999997,154076.88999999996,176982.25999999992
2023-11-10,176636.29999999996,-345.9599999999991,-345.95999999996275,-0.1954772190161674,184061.55039999992,176636.29999999996,184061.55039999992,176982.25999999992,176636.29999999996
2023-11-11,202287.65999999992,25651.36,25651.359999999957,14.522133898864482,202287.65999999992,176636.29999999996,183701.75199999995,176636.29999999996,202287.65999999992
